id,y_true,y_pred,absolute_error
1733587883.367668,182.0,118.06323326559342,63.936766734406575
1733587885.379828,59.0,134.18536033536822,75.18536033536822
1733587887.407111,107.0,179.47709948062067,72.47709948062067
1733587889.428247,263.0,262.294905161449,0.7050948385510196
1733587891.437332,142.0,142.51668652733716,0.516686527337157
1733587893.45167,144.0,122.9573406793088,21.0426593206912
1733587895.460556,100.0,153.4804155188536,53.48041551885359
1733587897.47304,178.0,193.01767569490363,15.01767569490363
1733587899.495768,233.0,254.0550836192973,21.055083619297307
1733587901.526483,200.0,156.57687377662788,43.42312622337212
1733587903.558527,70.0,59.37370846348982,10.62629153651018
1733587905.586513,219.0,146.6456135715725,72.35438642842749
1733587907.598236,102.0,106.92918500252974,4.929185002529735
1733587909.615571,85.0,58.37882693745455,26.621173062545452
1733587911.626858,138.0,171.82608717603588,33.826087176035884
1733587913.645293,65.0,53.72923884480225,11.270761155197746
1733587915.666271,78.0,120.66556231181981,42.66556231181981
1733587917.680604,220.0,211.85920933166517,8.14079066833483
1733587919.698004,257.0,190.66264878136707,66.33735121863293
1733588030.630863,273.0,258.5873382278404,14.412661772159595
1733588032.646102,118.0,155.51050404974447,37.51050404974447
1733588034.659506,151.0,165.84427759702953,14.844277597029532
1733588036.673659,235.0,169.59506426542373,65.40493573457627
1733588038.693492,110.0,158.80803758307357,48.80803758307357
1733588040.720863,43.0,61.91745607289509,18.917456072895092
1733588042.737015,178.0,163.36792373220544,14.63207626779456
1733588044.753608,59.0,77.18827231583384,18.188272315833842
1733588046.771155,90.0,143.05621637777142,53.05621637777142
1733588048.802874,156.0,159.93706843463852,3.937068434638519
1733588050.869681,94.0,100.7082718540757,6.708271854075704
1733588052.989088,151.0,165.84427759702953,14.844277597029532
1733588055.049371,131.0,197.04595872817097,66.04595872817097
1733588057.060284,241.0,191.89112987172945,49.10887012827055
1733588059.070836,332.0,220.67470467262453,111.32529532737547
1733588061.080054,170.0,191.1691373731373,21.16913737313729
1733588063.090697,81.0,99.59049696614417,18.590496966144173
1733588065.102189,95.0,146.27173897170897,51.27173897170897
1733588067.118178,206.0,162.37809618375738,43.62190381624262
1733588069.136816,220.0,262.6854747166499,42.68547471664988
1733588071.173743,91.0,153.63331639514493,62.63331639514493
1733588073.188716,107.0,113.03465398619905,6.0346539861990465
1733588075.202855,332.0,220.67470467262453,111.32529532737547
1733588077.214321,150.0,207.72417484803483,57.724174848034835
1733588079.239521,244.0,178.70266868702,65.29733131297999
1733588081.265704,85.0,150.84067124684628,65.84067124684628
1733588083.283686,274.0,245.47097829800748,28.52902170199252
1733588085.305345,52.0,174.51021586431253,122.51021586431253
1733588087.328865,69.0,100.66339134964326,31.663391349643263
1733588089.350966,31.0,97.79557804124121,66.79557804124121
1733588091.370618,141.0,176.8822723504105,35.88227235041049
1733588093.386176,233.0,199.27989729779497,33.720102702205025
1733588095.403813,214.0,122.10329364604544,91.89670635395456
1733588097.42177,168.0,124.01761825185305,43.98238174814695
1733588099.439826,180.0,219.35145025161316,39.35145025161316
1733588101.45999,220.0,262.6854747166499,42.68547471664988
1733588103.48461,150.0,125.22309514887857,24.77690485112143
1733588105.505143,321.0,235.29901729836644,85.70098270163356
1733588107.53054,164.0,187.16678927773697,23.166789277736967
1733588109.556296,151.0,206.11637746200643,55.116377462006426
1733588111.576387,70.0,174.72083518726188,104.72083518726188
1733588113.598499,109.0,108.54802746526389,0.45197253473611454
1733588115.617856,248.0,203.7505820486254,44.249417951374596
1733588117.639029,92.0,77.8291328074616,14.170867192538395
1733588119.661574,43.0,61.91745607289509,18.917456072895092
1733588121.681693,296.0,221.34013605429837,74.65986394570163
1733588123.709325,283.0,189.19199075072257,93.80800924927743
1733588125.729661,158.0,69.8431832468639,88.1568167531361
1733588127.750428,97.0,148.00343178174552,51.00343178174552
1733588129.767072,131.0,157.01425963883105,26.01425963883105
1733588131.793026,95.0,152.75921551728555,57.759215517285554
1733588133.815696,244.0,178.70266868702,65.29733131297999
1733588135.837518,168.0,124.01761825185305,43.98238174814695
1733588137.861927,128.0,228.664421229978,100.66442122997799
1733588139.881524,185.0,158.36452405128574,26.63547594871426
